Electricity_Access,Internet_Usage,GDP_Per_Capita,School_Enrollment,Life_Expectancy,Urban_Population,Country Code,Short Name,Region
99.45,80.88749999999999,26786.894905119214,119.50778089250832,75.13116666666667,43.25833333333333,ABW,Aruba,Latin America & Caribbean
80.49166666666667,10.667499999999999,545.7683397675024,53.89345974392362,61.89266666666666,24.955583333333333,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan"
40.84166666666667,21.491666666666664,3243.865703950589,40.43462800979613,60.90683333333333,63.72683333333334,AGO,Angola,Sub-Saharan Africa
99.90833333333335,59.324999999999996,4769.482977559858,98.63357480367029,78.34158333333333,57.78475,ALB,Albania,Europe & Central Asia
100.0,87.47272727272728,41755.55196826145,93.70666821797688,83.76558333333332,88.30975000000001,AND,Andorra,Europe & Central Asia
100.0,90.25,45633.52671578535,81.5247917175293,81.86333333333333,85.77041666666668,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan"
99.64999999999999,68.33333333333333,11917.119490741594,107.53950881957996,76.03083333333333,91.5555,ARG,Argentina,Latin America & Caribbean
99.77500000000002,55.74166666666667,3840.6428284212657,91.12387254503034,74.42134146341463,63.22316666666668,ARM,Armenia,Europe & Central Asia
98.6875,43.35000000000001,12411.83302006254,91.34852915102624,72.70283333333333,87.28166666666668,ASM,American Samoa,East Asia & Pacific
99.44166666666666,66.60833333333333,16320.064518672849,116.64246695382244,77.02783333333333,25.039083333333334,ATG,Antigua and Barbuda,Latin America & Caribbean
100.0,86.24166666666667,58221.262717453435,145.9229561941966,82.46524390243903,85.76100000000001,AUS,Australia,East Asia & Pacific
100.0,83.90833333333332,48932.036343493404,100.89463297526036,81.29776422764229,57.89933333333334,AUT,Austria,Europe & Central Asia
99.98333333333333,71.99166666666667,5750.607869281784,87.64407666220461,71.71641666666666,54.95458333333334,AZE,Azerbaijan,Europe & Central Asia
8.016666666666666,3.563333333333334,231.3377747580611,40.05353147333319,60.269416666666665,12.27875,BDI,Burundi,Sub-Saharan Africa
100.0,85.8,45862.06706713955,157.98864364624026,81.0857723577236,97.89241666666665,BEL,Belgium,Europe & Central Asia
36.78333333333333,13.081666666666665,1112.2370730311438,51.85382461547852,59.21458333333334,45.990500000000004,BEN,Benin,Sub-Saharan Africa
16.408333333333335,6.8983333333333325,739.3437978414291,32.56767384211223,58.76833333333334,27.87233333333334,BFA,Burkina Faso,Sub-Saharan Africa
76.37500000000001,17.935833333333335,1501.5519094825047,62.00562505079242,70.45791666666666,34.69883333333334,BGD,Bangladesh,South Asia
96.90833333333335,59.4,8814.688745873871,100.73793856302898,74.18353658536587,74.16108333333334,BGR,Bulgaria,Europe & Central Asia
100.0,90.49166666666667,25343.831262646727,99.29910888671887,79.69741666666667,89.07708333333333,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,77.3,29661.38653910908,77.7919896443685,73.31500000000001,82.83075,BHS,"Bahamas, The",Latin America & Caribbean
99.83333333333333,58.07500000000001,5412.942861546438,84.61929512023926,76.88083333333333,47.406416666666665,BIH,Bosnia and Herzegovina,Europe & Central Asia
97.61666666666667,64.425,6656.476211173774,99.63093376159675,72.7132337398374,77.37141666666666,BLR,Belarus,Europe & Central Asia
92.77500000000002,45.400000000000006,5896.84230297081,82.57067807515465,71.55375000000001,45.553083333333326,BLZ,Belize,Latin America & Caribbean
100.0,93.825,106727.24650319964,87.86593561234162,80.50541666666666,100.0,BMU,Bermuda,North America
92.08333333333333,41.49999999999999,2963.330099888415,89.97529284159343,66.21691666666666,68.531,BOL,"Bolivia, Plurinational State of",Latin America & Caribbean
99.55,61.13333333333333,10273.81089955664,102.71184234619133,74.67908333333334,85.8745,BRA,Brazil,Latin America & Caribbean
100.0,71.95833333333333,19268.566603350526,107.36637496948251,76.09383333333334,31.351916666666664,BRB,Barbados,Latin America & Caribbean
100.0,78.55,34823.9480299256,95.75530992635792,74.91383333333333,76.79966666666667,BRN,Brunei Darussalam,East Asia & Pacific
93.14999999999999,44.75833333333333,3065.4356781222136,79.81486792183244,70.85125000000001,38.99333333333333,BTN,Bhutan,South Asia
63.06666666666666,40.74999999999999,6882.866025429827,70.0183868408203,63.33825000000001,67.40233333333333,BWA,Botswana,Sub-Saharan Africa
12.908333333333331,3.441,447.9151744826185,15.11860251426695,46.74433333333334,40.575333333333326,CAF,Central African Republic,Sub-Saharan Africa
100.0,88.81666666666666,48034.0218546621,109.73491541544594,81.71674796747968,81.29858333333333,CAN,Canada,North America
100.0,88.77499999999999,85499.11820770486,101.94369714910326,83.17459349593496,73.753,CHE,Switzerland,Europe & Central Asia
100.0,73.08333333333333,59834.89751396725,102.54673957824707,81.175,30.987666666666666,CHI,Channel Islands,Europe & Central Asia
99.84166666666665,71.79166666666667,14501.326848926874,99.42928822835296,79.73649999999999,87.41391666666665,CHL,Chile,Latin America & Caribbean
99.95833333333333,52.74166666666667,8418.292220307472,92.60807037353514,77.01100000000001,56.03083333333333,CHN,China,East Asia & Pacific
63.550000000000004,24.650000000000002,1918.7171811954222,48.01003122329714,58.296833333333325,49.70124999999999,CIV,Côte d'Ivoire,Sub-Saharan Africa
59.1,21.208333333333332,1527.8068028069977,50.765414186135665,59.74816666666666,54.868750000000006,CMR,Cameroon,Sub-Saharan Africa
16.783333333333335,9.126666666666667,455.514485472382,43.09547260829381,58.71475,43.062666666666665,COD,"Congo, Democratic Republic of",Sub-Saharan Africa
44.76666666666666,11.291,2817.5336960580735,58.2015816368233,63.415,65.77108333333334,COG,"Congo, Republic of",Sub-Saharan Africa
98.23333333333333,56.53333333333333,6826.159267824439,99.66807301839192,75.58258333333332,79.90341666666667,COL,Colombia,Latin America & Caribbean
76.375,11.221818181818183,1493.4189419399015,59.93849529691985,64.47574999999999,28.641000000000002,COM,Comoros,Sub-Saharan Africa
87.45833333333333,48.81666666666666,3864.034462120069,86.3077335357666,73.97425,64.50975000000001,CPV,Cabo Verde,Sub-Saharan Africa
99.54166666666667,61.45000000000001,11351.154233069845,119.8807932535807,79.82275,77.01916666666666,CRI,Costa Rica,Latin America & Caribbean
99.01666666666667,43.074999999999996,7638.245972198554,96.54323514302565,77.33375000000001,76.9325,CUB,Cuba,Latin America & Caribbean
100.0,65.0,19028.979805046976,107.8884506225585,76.13958333333332,89.37425,CUW,Curaçao,Latin America & Caribbean
100.0,73.475,79442.64637967211,96.50732963155943,78.06558333333334,100.0,CYM,Cayman Islands,Latin America & Caribbean
100.0,73.81666666666666,28684.169270833332,98.46297709147132,81.21858333333333,67.02841666666667,CYP,Cyprus,Europe & Central Asia
100.0,76.45833333333333,21588.2717798177,102.0041376749674,78.38861788617886,73.58508333333334,CZE,Czechia,Europe & Central Asia
100.0,85.71666666666665,46460.49914641641,102.54673957824707,80.76544715447154,77.253,DEU,Germany,Europe & Central Asia
60.35,33.24166666666667,2261.8250838797735,87.97662268744575,62.89466666666667,77.52508333333333,DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan"
96.50833333333333,62.527272727272724,8246.493672818551,97.5636024320094,70.88050000000001,69.73533333333333,DMA,Dominica,Latin America & Caribbean
100.0,95.20833333333333,59901.25848833686,128.83087730407718,80.66849593495937,87.56208333333332,DNK,Denmark,Europe & Central Asia
98.69166666666665,59.51666666666667,6921.200662319797,79.20544179280598,72.81966666666666,78.81124999999999,DOM,Dominican Republic,Latin America & Caribbean
99.34166666666665,38.90833333333333,4962.626703814872,101.91279602050801,74.87825000000001,71.05491666666666,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan"
98.50000000000001,49.725,5832.02002403876,97.2902565002442,75.47050000000002,63.48758333333333,ECU,Ecuador,Latin America & Caribbean
99.79166666666667,42.42499999999999,2996.6319921043228,77.50789295543323,69.96258333333333,42.83316666666667,EGY,"Egypt, Arab Republic of","Middle East, North Africa, Afghanistan & Pakistan"
46.30833333333334,4.83,614.1905858232631,46.04755977913297,65.84025000000001,38.54125,ERI,Eritrea,Sub-Saharan Africa
100.0,79.85833333333333,29118.18136813199,122.64434687296541,82.91280487804879,79.7325,ESP,Spain,Europe & Central Asia
100.0,84.71666666666668,20537.236651062216,111.46165974934898,77.32621951219512,68.55791666666667,EST,Estonia,Europe & Central Asia
37.483333333333334,10.554166666666669,634.6986766905821,35.29794450381043,63.47100000000001,19.687333333333335,ETH,Ethiopia,Sub-Saharan Africa
100.0,89.05000000000001,48076.66254570489,138.54258346557617,81.26666666666668,85.0825,FIN,Finland,Europe & Central Asia
93.77499999999999,47.025,4971.746799934193,88.39544130155822,66.54958333333333,54.971666666666664,FJI,Fiji,East Asia & Pacific
100.0,81.34166666666667,40703.387076993655,104.50428771972649,82.34654471544717,79.79333333333334,FRA,France,Europe & Central Asia
100.0,88.92500000000001,57601.31916363695,102.54673957824707,81.8089430894309,41.725166666666674,FRO,Faroe Islands,Europe & Central Asia
73.95,30.95454545454545,3145.2987543131617,91.34852915102624,65.51883333333335,22.565583333333336,FSM,"Micronesia, Federated States of",East Asia & Pacific
88.77499999999999,43.041666666666664,8064.2074460545555,69.28899414746175,66.278,88.19541666666667,GAB,Gabon,Sub-Saharan Africa
100.0,90.89166666666667,42923.86645369138,114.76877108487233,80.96173983739838,82.74466666666667,GBR,United Kingdom,Europe & Central Asia
99.99166666666667,52.824999999999996,4421.083957865424,107.72109985351555,73.01041666666667,57.668416666666666,GEO,Georgia,Europe & Central Asia
75.14166666666667,28.875,1935.8306970964898,66.61482569411689,63.15433333333334,54.39083333333334,GHA,Ghana,Sub-Saharan Africa
99.95833333333333,72.35,20759.3677294196,127.25866088867201,82.49933333333334,100.0,GIB,Gibraltar,Europe & Central Asia
36.0,12.508333333333335,838.7566119001971,37.285646077299305,58.134583333333346,35.37108333333334,GIN,Guinea,Sub-Saharan Africa
55.42500000000001,21.10833333333333,689.5697107548614,74.9624325493035,63.02058333333333,59.52075,GMB,"Gambia, The",Sub-Saharan Africa
22.116666666666664,10.5525,727.8405440199864,45.53009147644044,59.99450000000001,42.34191666666667,GNB,Guinea-Bissau,Sub-Saharan Africa
66.25833333333334,27.345454545454547,11002.267015957623,45.53009147644044,60.70675,70.57383333333333,GNQ,Equatorial Guinea,Sub-Saharan Africa
100.0,65.38333333333334,20759.3677294196,105.11004511515291,81.07784552845528,78.1965,GRC,Greece,Europe & Central Asia
91.48333333333333,49.94166666666667,8597.019870702132,104.6477813720704,74.92608333333334,36.12991666666667,GRD,Grenada,Latin America & Caribbean
100.0,66.25,49975.71615159756,102.54673957824707,71.30148373983742,86.11083333333335,GRL,Greenland,Europe & Central Asia
90.7,30.608333333333334,3910.6658441257964,52.9661537806193,70.61874999999999,50.21608333333333,GTM,Guatemala,Latin America & Caribbean
100.0,67.3125,34719.56155926234,91.34852915102624,76.23283333333333,94.56825000000002,GUM,Guam,East Asia & Pacific
88.35000000000001,42.03333333333334,6065.310947553701,95.09233703613282,67.28841666666666,26.55725,GUY,Guyana,Latin America & Caribbean
100.0,83.39166666666667,42353.81036974008,102.30357996622712,84.31674796747967,100.0,HKG,"Hong Kong SAR, China",East Asia & Pacific
88.39166666666667,28.900000000000002,2279.61005465513,57.59728830510922,70.94725,55.467000000000006,HND,Honduras,Latin America & Caribbean
100.0,69.6,14407.589286937604,102.85916201273595,77.39430894308946,56.37141666666667,HRV,Croatia,Europe & Central Asia
41.599999999999994,18.517000000000003,1408.3560728690009,96.54323514302565,61.68299999999999,52.83941666666666,HTI,Haiti,Latin America & Caribbean
100.0,75.89166666666667,14851.155984391049,103.342342376709,75.39817073170734,70.6375,HUN,Hungary,Europe & Central Asia
97.10833333333333,29.408333333333335,3666.8704076852487,88.43934600981653,69.17625000000001,53.63141666666666,IDN,Indonesia,East Asia & Pacific
100.0,73.08333333333333,83617.84448260396,102.54673957824707,80.27533333333334,52.387750000000004,IMN,Isle of Man,Europe & Central Asia
88.41666666666667,17.918181818181818,1717.0818263677156,73.73080270015954,68.9995,33.05058333333333,IND,India,South Asia
100.0,83.075,67876.49214913487,126.47491038929319,81.62621951219514,62.67241666666666,IRL,Ireland,Europe & Central Asia
99.84166666666665,48.86666666666667,5524.60788499386,87.97662268744575,75.41341666666666,73.5705,IRN,"Iran, Islamic Republic of","Middle East, North Africa, Afghanistan & Pakistan"
99.40000000000002,26.400000000000002,5302.559414613804,87.97662268744575,69.60366666666665,70.051,IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,97.625,58282.09117623393,114.97569592793775,82.64024390243902,93.73158333333333,ISL,Iceland,Europe & Central Asia
100.0,78.50833333333334,39428.62897940417,96.44873110453285,82.24491869918698,92.23033333333332,ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,62.349999999999994,34450.84581863882,101.28854433695476,82.7219512195122,69.73575,ITA,Italy,Europe & Central Asia
95.77499999999999,51.324999999999996,5170.408445220129,88.14106056906958,71.77008333333335,55.05583333333334,JAM,Jamaica,Latin America & Caribbean
99.84166666666668,55.10833333333333,4079.4507814875287,88.68044509887697,75.04375,89.77541666666667,JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,87.05000000000001,41309.00902115356,102.104650709364,83.74176829268295,91.40791666666667,JPN,Japan,East Asia & Pacific
99.98333333333333,69.39999999999999,10192.890187035295,100.45693169843427,71.28,57.25958333333333,KAZ,Kazakhstan,Europe & Central Asia
49.916666666666664,14.919999999999998,1568.581286143674,45.53009147644044,61.96408333333334,25.940083333333334,KEN,Kenya,Sub-Saharan Africa
99.47500000000001,41.86666666666667,1201.0433534744839,90.53725627430275,70.75101626016261,36.00275,KGZ,Kyrgyz Republic,Europe & Central Asia
64.33333333333333,24.09363636363636,1627.6538025266393,53.12513607166327,69.14816666666665,22.420916666666667,KHM,Cambodia,East Asia & Pacific
83.875,18.577,1793.2261878919742,86.4115524291992,65.65608333333334,51.96325000000001,KIR,Kiribati,East Asia & Pacific
99.98333333333333,66.99166666666666,19890.44620328033,110.7013587951661,71.1485,30.92741666666667,KNA,St. Kitts and Nevis,Latin America & Caribbean
100.0,90.675,29323.623555661703,98.15833218892415,82.01930894308943,81.63433333333334,KOR,Korea,East Asia & Pacific
100.0,84.61666666666667,36986.75064968605,95.13870366414386,79.2116280487805,100.0,KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan"
86.77499999999998,26.53333333333333,2078.7922776282926,58.73051084082485,66.50766666666668,33.45308333333334,LAO,Lao PDR,East Asia & Pacific
99.75833333333333,71.325,7642.17441679843,87.97662268744575,77.55133333333332,88.19675,LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan"
16.525000000000002,11.134166666666665,654.8135006068921,39.04186820983888,60.250249999999994,50.0975,LBR,Liberia,Sub-Saharan Africa
73.76666666666667,36.24285714285714,9395.403445397653,87.97662268744575,72.05658333333334,79.45108333333333,LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan"
98.24166666666667,53.00833333333335,10108.18427821228,91.8610909201882,72.3575,18.59925,LCA,St. Lucia,Latin America & Caribbean
100.0,92.78181818181817,167598.27145584166,115.06262137673117,82.68963414634148,14.367083333333333,LIE,Liechtenstein,Europe & Central Asia
94.30833333333332,26.762499999999996,3830.3753992628103,94.3964110596859,75.87058333333333,18.386166666666668,LKA,Sri Lanka,South Asia
